Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,6,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
4,2,4,23,8,ACCELERATING,false,0,1,0,0,0,,,0,0,-3
5,2,4,32,9,ACCELERATING,false,0,1,0,1,0,,,1,0,5
6,2,4,32,9,FIXED_CAR,false,0,0,0,1,0,,,1,0,5
7,2,4,41,9,ACCELERATING,false,0,0,0,1,0,,,2,0,9
8,2,4,50,9,ACCELERATING,false,0,0,1,1,0,,,2,0,13
9,2,4,65,15,USED_BOOST,true,5,0,0,1,0,,,2,0,17
10,2,3,79,15,TURNING_LEFT,true,4,0,1,1,0,,,2,0,21
11,2,3,94,9,HIT_MUD,false,0,1,1,1,0,,,2,0,18
12,2,3,94,9,FIXED_CAR,false,0,0,1,1,0,,,2,0,18
13,2,3,109,15,USED_BOOST,true,5,0,1,1,0,,,2,0,26
14,2,2,123,15,TURNING_LEFT,true,4,0,2,1,0,,,2,0,30
15,2,1,137,15,TURNING_LEFT,true,3,0,2,2,0,,,2,1,38
16,2,1,152,15,USED_BOOST,true,5,0,1,2,0,,,3,1,46
17,2,1,167,15,USED_BOOST,true,5,0,1,2,0,,,3,2,58
18,2,1,167,3,USED_BOOST,false,0,0,0,2,0,,,3,2,55
19,2,1,173,6,ACCELERATING,false,0,0,0,2,0,,,3,2,55
20,2,1,181,8,ACCELERATING,false,0,0,0,2,0,,,3,2,55
21,2,1,190,9,ACCELERATING,false,0,0,0,3,0,,,3,3,63
22,2,1,199,9,ACCELERATING,false,0,0,0,3,0,,,3,3,63
23,2,1,208,9,ACCELERATING,false,0,0,0,3,0,,,3,3,63
24,2,1,217,8,HIT_MUD,false,0,1,0,3,0,,,3,3,60
25,2,1,226,9,ACCELERATING,false,0,1,0,3,0,,,3,3,60
26,2,1,226,3,FIXED_CAR,false,0,0,0,3,0,,,3,3,53
27,2,1,232,6,ACCELERATING,false,0,0,0,3,0,,,4,3,57
28,2,1,240,8,ACCELERATING,false,0,0,1,3,0,,,4,3,61
29,2,1,255,15,USED_BOOST,true,5,0,0,3,0,,,4,4,69
30,2,1,270,9,HIT_MUD,false,0,1,0,3,0,,,4,4,66
31,2,1,270,9,FIXED_CAR,false,0,0,0,3,0,,,4,4,66
32,2,1,270,3,ACCELERATING,false,0,0,0,3,0,,,4,4,59
33,2,1,276,6,ACCELERATING,false,0,0,0,3,0,,,4,6,67
34,2,1,284,8,ACCELERATING,false,0,0,0,3,1,,,4,6,71
35,2,1,292,8,USED_LIZARD,false,0,0,0,3,1,,,4,6,75
36,2,1,292,3,USED_LIZARD,false,0,0,0,3,0,,,4,6,68
37,2,1,298,6,ACCELERATING,false,0,0,0,3,0,,,4,6,68
38,2,1,306,8,ACCELERATING,false,0,0,0,3,0,,,4,6,68
39,2,1,315,9,ACCELERATING,false,0,0,0,3,1,,,4,6,72
40,2,1,324,9,USED_LIZARD,false,0,0,0,3,0,,,4,6,72
41,2,2,332,9,TURNING_RIGHT,false,0,0,1,3,0,,,4,6,76
42,2,2,347,15,USED_BOOST,true,5,0,0,3,0,,,5,6,84
43,2,2,362,15,USED_OIL,true,4,0,0,2,0,,,5,6,88
44,2,3,376,15,TURNING_RIGHT,true,3,0,0,2,0,,,5,6,88
45,2,3,391,15,USED_OIL,true,2,0,0,1,0,,,5,6,92
46,2,4,405,15,TURNING_RIGHT,true,1,0,0,1,1,,,5,6,96
47,2,4,414,9,USED_LIZARD,false,0,0,0,1,0,,,5,6,96
48,2,4,423,9,ACCELERATING,false,0,0,0,1,0,,,5,6,96
49,2,4,423,3,ACCELERATING,false,0,0,0,1,0,,,5,6,89
50,2,4,429,6,ACCELERATING,false,0,0,0,1,0,,,5,6,89
51,2,4,437,6,HIT_MUD,false,0,1,0,1,0,,,5,6,86
52,2,4,445,3,HIT_MUD,false,0,4,0,1,0,,,6,7,85
53,2,4,445,3,FIXED_CAR,false,0,2,0,1,0,,,6,7,85
54,2,4,451,6,ACCELERATING,false,0,2,0,1,0,,,6,8,89
55,2,4,459,8,ACCELERATING,false,0,2,1,1,0,,,6,8,93
56,2,4,459,8,FIXED_CAR,false,0,0,1,1,0,,,6,8,93
57,2,4,474,9,HIT_MUD,false,0,1,0,2,2,,,6,8,106
58,2,4,483,9,USED_LIZARD,false,0,1,0,2,1,,,7,8,110
59,2,4,492,9,USED_LIZARD,false,0,1,0,2,1,,,7,8,114
60,2,4,501,9,USED_LIZARD,false,0,1,0,2,0,,,7,8,114
61,2,4,501,9,FIXED_CAR,false,0,0,0,2,0,,,7,8,114
62,2,4,510,9,ACCELERATING,false,0,0,0,2,0,,,7,8,114
63,2,4,519,9,ACCELERATING,false,0,0,0,3,0,,,7,8,118
64,2,3,527,9,TURNING_LEFT,false,0,0,0,3,0,,,7,8,118
65,2,3,536,9,ACCELERATING,false,0,0,0,3,0,,,7,8,118
66,2,3,545,9,ACCELERATING,false,0,0,1,3,0,,,7,8,122
67,2,3,560,15,USED_BOOST,true,5,0,0,3,0,,,7,9,130
68,2,2,574,9,HIT_MUD,false,0,1,0,3,0,,,7,10,131
69,2,2,574,9,FIXED_CAR,false,0,0,0,3,0,,,7,10,131
70,2,2,583,9,ACCELERATING,false,0,0,0,3,0,,,7,11,135
71,2,1,591,8,HIT_MUD,false,0,1,0,3,0,,,7,11,132
72,2,1,600,8,HIT_MUD,false,0,2,0,3,0,,,7,11,129
73,2,1,600,8,FIXED_CAR,false,0,0,0,3,0,,,7,11,129
74,2,1,609,9,ACCELERATING,false,0,0,0,3,0,,,7,12,133
75,2,1,618,9,ACCELERATING,false,0,0,0,3,0,,,7,12,133
76,2,2,626,9,TURNING_RIGHT,false,0,0,0,3,0,,,8,12,137
77,2,2,635,9,ACCELERATING,false,0,0,0,3,0,,,8,12,137
78,2,3,643,9,TURNING_RIGHT,false,0,0,0,4,0,,,8,12,141
79,2,3,652,9,ACCELERATING,false,0,0,0,4,0,,,8,12,141
80,2,3,661,9,ACCELERATING,false,0,0,0,4,0,,,8,12,141
81,2,3,670,9,ACCELERATING,false,0,0,0,4,0,,,8,12,141
82,2,3,679,9,ACCELERATING,false,0,0,0,4,0,,,8,12,141
83,2,2,687,9,TURNING_LEFT,false,0,0,0,5,0,,,8,12,145
84,2,1,695,9,TURNING_LEFT,false,0,0,0,5,0,,,8,12,145
85,2,2,703,9,TURNING_RIGHT,false,0,0,0,6,0,,,8,12,149
86,2,2,712,8,HIT_MUD,false,0,1,0,6,0,,,8,12,146
87,2,2,721,9,ACCELERATING,false,0,1,0,6,0,,,8,12,146
88,2,2,721,9,FIXED_CAR,false,0,0,0,6,0,,,8,12,146
89,2,2,730,9,ACCELERATING,false,0,0,0,6,0,,,9,12,150
90,2,1,738,9,TURNING_LEFT,false,0,0,0,6,0,,,9,12,150
91,2,1,747,9,ACCELERATING,false,0,0,0,6,0,,,9,12,150
92,2,1,756,9,ACCELERATING,false,0,0,0,6,0,,,9,13,154
93,2,1,765,9,ACCELERATING,false,0,0,0,6,0,,,9,13,154
94,2,1,774,9,ACCELERATING,false,0,0,0,6,0,,,9,13,154
95,2,1,783,9,ACCELERATING,false,0,0,0,6,0,,,9,13,154
96,2,1,792,9,ACCELERATING,false,0,0,0,6,0,,,10,13,158
97,2,1,801,9,ACCELERATING,false,0,0,0,6,0,,,10,13,158
98,2,2,809,9,TURNING_RIGHT,false,0,0,0,6,0,,,10,13,158
99,2,2,818,9,ACCELERATING,false,0,0,0,6,0,,,10,13,158
100,2,1,826,9,TURNING_LEFT,false,0,0,0,6,0,,,10,13,158
101,2,1,835,9,ACCELERATING,false,0,0,0,7,0,,,10,13,162
102,2,1,844,9,ACCELERATING,false,0,0,0,7,0,,,10,13,162
103,2,1,853,9,ACCELERATING,false,0,0,0,7,0,,,10,13,162
104,2,1,862,9,ACCELERATING,false,0,0,0,7,1,,,10,13,166
105,2,1,871,9,USED_LIZARD,false,0,0,0,7,0,,,10,13,166
106,2,1,880,9,ACCELERATING,false,0,0,0,7,0,,,10,13,166
107,2,2,888,9,TURNING_RIGHT,false,0,0,1,7,0,,,11,13,174
108,2,3,896,9,TURNING_RIGHT,false,0,0,2,7,0,,,11,13,178
109,2,3,911,15,USED_BOOST,true,5,0,1,7,0,,,11,13,182
110,2,2,925,15,TURNING_LEFT,true,4,0,1,7,0,,,11,13,182
111,2,3,939,9,HIT_MUD,false,0,1,2,7,0,,,11,14,187
112,2,3,939,9,FIXED_CAR,false,0,0,2,7,0,,,11,14,187
113,2,3,954,15,USED_BOOST,true,5,0,1,7,0,,,11,14,191
114,2,3,969,15,USED_BOOST,true,5,0,1,7,1,,,11,14,203
115,2,3,984,15,USED_LIZARD,true,4,0,1,7,0,,,11,14,203
116,2,2,998,15,TURNING_LEFT,true,3,0,1,7,0,,,11,14,203
117,2,1,1012,15,TURNING_LEFT,true,2,0,1,7,0,,,11,14,203
118,2,1,1027,15,USED_BOOST,true,5,0,0,8,1,,,11,14,215
119,2,1,1042,15,USED_LIZARD,true,4,0,0,8,0,,,11,14,215
120,2,1,1057,15,USED_OIL,true,3,0,0,7,1,,,11,14,223
121,2,1,1072,15,USED_LIZARD,true,2,0,0,7,0,,,11,14,223
122,2,1,1087,15,USED_OIL,true,1,0,1,6,0,,,11,15,235
123,2,1,1102,15,USED_BOOST,true,5,0,1,7,0,,,11,15,247
124,2,1,1117,15,USED_BOOST,true,5,0,0,8,0,,,13,15,263
125,2,2,1131,8,HIT_MUD,false,0,2,0,8,1,,,13,15,261
126,2,2,1139,8,USED_LIZARD,false,0,2,0,8,0,,,13,15,261
127,2,1,1146,8,TURNING_LEFT,false,0,2,0,9,0,,,13,16,269
128,2,1,1146,8,FIXED_CAR,false,0,0,0,9,0,,,13,16,269
129,2,1,1155,9,ACCELERATING,false,0,0,0,9,0,,,13,16,269
130,2,1,1164,9,ACCELERATING,false,0,0,0,10,0,,,13,16,273
131,2,2,1172,9,TURNING_RIGHT,false,0,0,0,10,0,,,13,16,273
132,2,2,1181,9,ACCELERATING,false,0,0,0,10,0,,,13,16,273
133,2,2,1190,9,ACCELERATING,false,0,0,0,10,0,,,13,16,273
134,2,2,1199,9,ACCELERATING,false,0,0,0,10,0,,,13,16,273
135,2,2,1208,9,ACCELERATING,false,0,0,0,10,1,,,13,16,277
