Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,2,22,8,TURNING_RIGHT,false,0,0,0,0,0,,,0,0,0
5,1,2,31,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
6,1,3,39,9,TURNING_RIGHT,false,0,0,1,0,0,,,0,0,4
7,1,2,47,9,TURNING_LEFT,false,0,0,1,0,0,,,0,0,4
8,1,3,55,9,TURNING_RIGHT,false,0,0,1,1,0,,,1,0,12
9,1,3,64,9,USED_TWEET,false,0,0,1,1,0,2,64,0,0,16
10,1,3,73,9,ACCELERATING,false,0,0,1,1,0,2,64,0,0,16
11,1,3,82,9,ACCELERATING,false,0,0,1,1,0,2,64,0,0,16
12,1,3,91,9,ACCELERATING,false,0,0,1,1,0,2,64,0,0,16
13,1,3,100,9,ACCELERATING,false,0,0,1,1,0,2,64,0,0,16
14,1,3,109,9,ACCELERATING,false,0,0,1,1,1,2,64,0,0,20
15,1,3,118,9,ACCELERATING,false,0,0,1,1,2,2,64,0,0,24
16,1,3,127,9,ACCELERATING,false,0,0,1,1,2,2,64,0,0,24
17,1,4,135,9,TURNING_RIGHT,false,0,0,1,1,2,2,64,0,0,24
18,1,4,144,9,ACCELERATING,false,0,0,1,2,2,2,64,0,0,28
19,1,4,153,9,USED_LIZARD,false,0,0,1,2,1,2,64,0,0,28
20,1,4,162,9,ACCELERATING,false,0,0,1,2,1,2,64,0,0,28
21,1,4,171,9,ACCELERATING,false,0,0,1,2,1,2,64,0,0,28
22,1,4,180,9,ACCELERATING,false,0,0,1,2,1,2,64,0,1,32
23,1,4,189,9,ACCELERATING,false,0,0,2,2,1,2,64,0,1,36
24,1,4,198,9,ACCELERATING,false,0,0,2,3,1,2,64,0,1,40
25,1,4,198,3,HIT_EMP,false,0,0,2,3,1,2,64,0,1,33
26,1,3,200,3,TURNING_LEFT,false,0,0,3,3,1,2,64,0,1,37
27,1,4,202,3,TURNING_RIGHT,false,0,0,3,3,1,2,64,0,1,37
28,1,4,208,6,ACCELERATING,false,0,0,3,3,1,2,64,0,1,37
29,1,4,216,8,ACCELERATING,false,0,0,3,3,1,2,64,1,1,41
